Old typology,New typology
F060. Excepciones inseguras - NullpointerException,060. Insecure exceptions
F060. Excepciones inseguras: captura de excepcion generica,060. Insecure exceptions
F060. Insecure Exceptions,060. Insecure exceptions
F060. Insecure exceptions,060. Insecure exceptions
F061. Errores sin trazabilidad,061. Errors without traceability
F061. Errores sin trazabilidad y uso de printStackTrace(),061. Errors without traceability
F061. Errors without traceability,061. Errors without traceability
F061. Untracked Errors,061. Errors without traceability
F062. Concurrent sessions,062. Concurrent sessions
F062. Multiple sessions,062. Concurrent sessions
F062. Sesiones concurrentes,062. Concurrent sessions
F062. Sesiones concurrentes - APOLO,062. Concurrent sessions
F062. Sesiones concurrentes: Nueva App,062. Concurrent sessions
F062. Simultaneous Sessions,062. Concurrent sessions
F063. Ausencia de validación de datos,063. Lack of data validation - Path Traversal
F063. Ausencia de validación de datos - Path Traversal,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos  - Rango de transferencias Transfiya,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Ambiente,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Apps,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Asignación de usuario,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Beneficiarios,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Cabecera x-amzn-RequestId,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Cabeceras,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Cabeceras del request,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Cambio de contraseña,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Campos Insertados en Email,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Captcha,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Caracteres,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Código,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Codigo fuente,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Contáctanos,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Content Spoofing,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Cookie de sesión,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Correos,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - desbordamiento,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Descripción Compañias,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Dirección IP origen,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Fecha de habilitación servicios,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Fecha descargar reporte,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Fecha generar reporte,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Fechas,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Feetable,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Host Header Injection,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - HTTP Parameter Pollution,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Income movement,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Inyección CSV,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Inyección de cabeceras,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - limite de caracteres,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Longitud de campos,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Nombres,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Número de cuenta,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Pago planilla proveedores,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Parámetros reflejados,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - QR Shipping,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Rango de fechas,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - recuperando usuario o contraseña,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Referencia Bancaria,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Responses,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Salto de restricción por país,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Simulador,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - SOAP,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - SOAP ESB,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Survey,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Tiempo solicitud OTP,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Token,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Transacciones,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Validación de Documento,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Web,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - WebService,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - WSDL,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos - Zip Slip,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos: Longitud,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos: Modificación de datos no permitidos,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos: Nueva App,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos: TokenCode,063. Lack of data validation - Path Traversal
F063. Falta de validación de datos(Código Fuente),063. Lack of data validation - Path Traversal
F063. Falta de validación de datos(Código),063. Lack of data validation - Path Traversal
F063. Lack of data validation,063. Lack of data validation - Path Traversal
F063. Lack of data validation - CLI,063. Lack of data validation - Path Traversal
F063. Lack of data validation - Path Traversal,063. Lack of data validation - Path Traversal
F063. Lack of data validation - Resource requested,063. Lack of data validation - Path Traversal
F063. Lack of data validation - Timestamp,063. Lack of data validation - Path Traversal
F063. Lack of data validation - Token,063. Lack of data validation - Path Traversal
F063. Lack of Input Validation,063. Lack of data validation - Path Traversal
F063. Lack of Input Validation - Negative numbers,063. Lack of data validation - Path Traversal
F063. Missing Data Validation,063. Lack of data validation - Path Traversal
F064. Pérdida de trazabilidad,064. Traceability loss - Server's clock
F064. Pérdida de trazabilidad - AWS Cloudfront,064. Traceability loss - Server's clock
F064. Pérdida de trazabilidad - Reloj del servidor,064. Traceability loss - Server's clock
F064. Traceability loss - Server's clock,064. Traceability loss - Server's clock
F064. Traceability loss - VPCs without flowlog,064. Traceability loss - Server's clock
F065. Caché en formulario,065. Cached form fields
F065. Cache in forms,065. Cached form fields
F065. Cached form fields,065. Cached form fields
F066. Código JavaScript sin ofuscar,066. Technical information leak - Console functions
F066. Not obfuscated Javascript Code,066. Technical information leak - Console functions
F067. Asignación inadecuada de recursos,067. Improper resource allocation
F067. Asignación inadecuada de recursos - Recursos no liberados,067. Improper resource allocation
F067. Asignación inadecuada de recursos - ReDoS,067. Improper resource allocation
F067. Asignación inadecuada de recursos - ReDos,067. Improper resource allocation
F067. Pérdida de rendimiento de la aplicación,067. Improper resource allocation
F068. Insecure session expiration time,068. Insecure session expiration time
F068. Tiempo límite de inactividad inseguro,068. Insecure session expiration time
F068. Tiempo límite de inactividad inseguro - Token,068. Insecure session expiration time
F068. Unsafe inactivity time limit,068. Insecure session expiration time
F069. Captcha débil,069. Weak CAPTCHA
F069. CAPTCHA débil,069. Weak CAPTCHA
F069. Weak CAPTCHA,069. Weak CAPTCHA
F070. inadequate programming practices,070. Inappropriate coding practices - Wildcard import
F070. Inappropriate coding practices - Wildcard import,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - apikey,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - APK,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Atributos públicos,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Buffer,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - complejidad ciclomatica,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - dependencias obsoletas,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Dependencias Obsoletas,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - ePrintStackTrace,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Import con comodín,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Importación con comodín,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Imports innecesarios,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Integridad referencial,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Inyección SQL,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - IPs,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - LDAP,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - localStorage,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Manejo de Recursos,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Políticas para usuarios,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Propiedades de visibilidad,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Static Import,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - StringBuffer,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Tiempo de vida de objetos con información sensible,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación - Try sin Catch,070. Inappropriate coding practices - Wildcard import
"F070. Prácticas inadecuadas de programación ""Declaración insuficiente de StringBuffer""",070. Inappropriate coding practices - Wildcard import
"F070. Prácticas inadecuadas de programación ""Protocolo inseguro""",070. Inappropriate coding practices - Wildcard import
"F070. Prácticas inadecuadas de programación ""Uso clase sincronizada""",070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación Clases sincronizadas,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación transformadores sin proteccion,070. Inappropriate coding practices - Wildcard import
F070. Prácticas inadecuadas de programación: Información confidencial en código,070. Inappropriate coding practices - Wildcard import
F071. Cabeceras HTTP inseguras o no establecidas - Referrer-Policy,071. Insecure or unset HTTP headers - Referrer-Policy
F071. Código ofuscado de forma insegura,071. Insecure or unset HTTP headers - Referrer-Policy
F072. Código repetido,072. Duplicate code
F072. Repeated code,072. Duplicate code
F073. Condicionales sin opción por defecto,073. Conditional statement without a default option
F073. Condicionales sin ópcion por defecto,073. Conditional statement without a default option
F073. Condicionales sin opción por defecto - Código fuente,073. Conditional statement without a default option
F073. Conditional statement without a default option,073. Conditional statement without a default option
F073. Conditionals without default option,073. Conditional statement without a default option
F074. Código comentado,074. Commented-out code
F074. Código funcional comentado,074. Commented-out code
F074. Código funcional comentado - Código fuente,074. Commented-out code
F074. Código funcional comentado - Test,074. Commented-out code
F074. Commented-out code,074. Commented-out code
F074. Functional code commented,074. Commented-out code
F075. Acceso no autorizado a archivos,075. Unauthorized access to files - APK Content Provider
F075. Acceso no autorizado a archivos -  Directorios Web,075. Unauthorized access to files - APK Content Provider
F075. Acceso no autorizado a archivos - APK Content Provider,075. Unauthorized access to files - APK Content Provider
F075. Acceso no autorizado a archivos - FirebaseStorage,075. Unauthorized access to files - APK Content Provider
F075. Acceso no autorizado a archivos - Listado de directorios,075. Unauthorized access to files - APK Content Provider
F075. Acceso no autorizado a archivos - SVN Expuesto,075. Unauthorized access to files - APK Content Provider
F075. Acceso no autorizado a archivos: Debug APK,075. Unauthorized access to files - APK Content Provider
F075. Unauthorized access to files - APK Content Provider,075. Unauthorized access to files - APK Content Provider
F075. Unauthorized access to files - Evidences,075. Unauthorized access to files - APK Content Provider
F075. Unauthorized access to files - LFI,075. Unauthorized access to files - APK Content Provider
F075. Unauthorized access to files -LFI,075. Unauthorized access to files - APK Content Provider
F076. Insecure session handling,076. Insecure session management
F076. Insecure session management,076. Insecure session management
F076. Insecure session management - No reauthetication after password change,076. Insecure session management
F076. Insufficient Session Expiration,076. Insecure session management
F076. Manejo inseguro de sesión,076. Insecure session management
F076. Manejo inseguro de sesión - APOLO,076. Insecure session management
F076. Manejo inseguro de sesión - Cabeceras,076. Insecure session management
F076. Manejo inseguro de sesión - Cambio de contraseña,076. Insecure session management
F076. Manejo inseguro de sesión - campos de sesión,076. Insecure session management
F076. Manejo inseguro de sesión - Cierre de sesión,076. Insecure session management
F076. Manejo inseguro de sesión - cierre de sesión,076. Insecure session management
F076. Manejo inseguro de sesión - Huella,076. Insecure session management
F076. Manejo inseguro de sesión - JWT,076. Insecure session management
F076. Manejo inseguro de sesión - Reactivación de token,076. Insecure session management
F076. Manejo inseguro de sesión - Reautenticación después de cambio de contraseña,076. Insecure session management
F076. Manejo inseguro de sesión - Refresh Token,076. Insecure session management
F076. Manejo inseguro de sesión - Reutilización de token,076. Insecure session management
F076. Manejo inseguro de sesión - Session Fixation,076. Insecure session management
F076. Manejo inseguro de sesión - SifBranch,076. Insecure session management
F076. Manejo inseguro de sesión - SVE,076. Insecure session management
F076. Manejo inseguro de sesión - token jwt,076. Insecure session management
F076. Manejo inseguro de sesión - Token servicio chat,076. Insecure session management
F076. Manejo inseguro de sesión - Transferencias Internacionales,076. Insecure session management
F076. Manejo inseguro de sesión - Validación JWT,076. Insecure session management
F076. Manejo inseguro de sesión: Nueva App,076. Insecure session management
F077. ARP Spoofing,077. ARP spoofing
F077. ARP Spoofing 2,077. ARP spoofing
F078. Insecure token generation,078. Insecurely generated token
F078. Insecurely generated token,078. Insecurely generated token
F078. Token generado de forma insegura,078. Insecurely generated token
F078. Token generado de forma insegura - Cambio de contraseña,078. Insecurely generated token
F078. Token generado de forma insegura - JWT,078. Insecurely generated token
F078. Token generado de forma insegura - OTP quemado en código,078. Insecurely generated token
F078. Token generado de forma insegura - Refresh Token,078. Insecurely generated token
F078. Token generado de forma insegura - Refresh-token,078. Insecurely generated token
F078. Token generado de forma insegura - Roles,078. Insecurely generated token
F078. Token generado de forma insegura - Signature,078. Insecurely generated token
F078. Token generado de forma insegura - Tiempo de vida,078. Insecurely generated token
F079. Dependencias no actualizables,079. Non-upgradable dependencies
F079. Dependencias no actualizables - Dynatrace,079. Non-upgradable dependencies
F079. Non-upgradable dependencies,079. Non-upgradable dependencies
F079. Non-upgradeable dependencies,079. Non-upgradable dependencies
F080. Controles de acceso físico inadecuados,080. Non-encrypted confidential information - AWS
F081. Ausencia de autenticación de múltiples factores,081. Lack of multi-factor authentication
F081. Ausencia de doble factor de autenticación,081. Lack of multi-factor authentication
F083. Inyección XML,083. XML injection (XXE)
F083. Inyección XML (XXE),083. XML injection (XXE)
F083. Inyección XML (XXE) - JAXB Unmarshaller,083. XML injection (XXE)
F083. Inyección XML (XXE) - OLBServlet,083. XML injection (XXE)
F083. Inyección XML- Interacción DNS,083. XML injection (XXE)
F083. XML Injection (XXE),083. XML injection (XXE)
F084. MDNS Spoofing,084. MDNS spoofing
F085. Almacenamiento inseguro de información sensible en el client-side storage,085. Sensitive data stored in client-side storage
F085. Almacenamiento inseguro de información sensible en el local storage,085. Sensitive data stored in client-side storage
F085. Almacenamiento inseguro de información sensible en el session storage,085. Sensitive data stored in client-side storage
F085. Sensitive data stored in client-side storage,085. Sensitive data stored in client-side storage
F085. Sensitive data stored in the client-side storage,085. Sensitive data stored in client-side storage
F086. Falta de verificación de HTML Subresource Integrity,086. Missing subresource integrity check
F086. Falta de verificación de subresource integrity,086. Missing subresource integrity check
F086. Lack of verification of subresource integrity,086. Missing subresource integrity check
F086. Missing subresource integrity check,086. Missing subresource integrity check
F087. Account lockout,087. Account lockout
F087. Bloqueo de cuentas,087. Account lockout
F087. Bloqueo de cuentas - ADMIN,087. Account lockout
F087. Bloqueo de cuentas - Cambio de contraseña,087. Account lockout
F088. Infracción de privacidad,088. Privacy violation
F088. Privacy violation,088. Privacy violation
F089. Control Inadecuado de la frecuencia de interaccion - Encuesta,089. Lack of data validation - Trust boundary violation
F089. Falta de validación de datos,089. Lack of data validation - Trust boundary violation
F089. Falta de validación de datos - Trust boundary violation,089. Lack of data validation - Trust boundary violation
F090. Code injection (CSV),090. CSV injection
F090. Código funcional incompleto,090. CSV injection
F090. CSV Injection,090. CSV injection
F090. Inyección CSV,090. CSV injection
F090. Inyección de Código (CSV),090. CSV injection
F091. Inyección en Logs,091. Log injection
F092. Algoritmo de cifrado inseguro - Suites de cifrado anónimo,092. Insecure encryption algorithm - Anonymous cipher suites
F093. Manipulación de campos invisibles,093. Hidden fields manipulation
F093. Manipulación de campos ocultos,093. Hidden fields manipulation
F094. Algoritmo de cifrado inseguro - AES/CBC,094. Insecure encryption algorithm - Cipher Block Chaining
F094. Algoritmo de cifrado inseguro - Cipher Block Chaining,094. Insecure encryption algorithm - Cipher Block Chaining
F094. Suplantación de identidad,094. Insecure encryption algorithm - Cipher Block Chaining
F096. Deserialización Insegura,096. Insecure deserialization
F097. Reverse Tabnabbing,097. Reverse tabnabbing
F097. Reverse tabnabbing,097. Reverse tabnabbing
F098. Control externo de ruta en guardado de archivo,098. External control of file name or path
F099. Exceso de privilegios,099. Non-encrypted confidential information - S3 Server Side Encryption
F100. Server-Side Request Forgery (SSRF),100. Server-side request forgery (SSRF)
F100. Server-Side Request Forgery (SSRF) - SQL,100. Server-side request forgery (SSRF)
F101.  Lack of deletion protection - EC2,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - AWS EC2,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - AWS ELB,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - AWS RDS,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - DynamoDB,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - EC2,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - ELB,101. Lack of protection against deletion
F101. Ausencia de protección contra borrado - RDS,101. Lack of protection against deletion
F101. Ausencia de puntos de recuperación - DynamoDB,101. Lack of protection against deletion
F101. Binarios compilados de forma insegura,101. Lack of protection against deletion
F102. Ausencia de validación de unicidad de correos,102. Email uniqueness not properly verified
F102. Ausencia de validación de unicidad de correos - RequireUniqueEmail,102. Email uniqueness not properly verified
F102. Email uniqueness not properly verified,102. Email uniqueness not properly verified
F103. Insufficient data authenticity validation - APK signing,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Cambio datos afiliado,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Crédito en mora,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - DeviceCheck,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Pago ATTT,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Prórroga,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Redireccionamiento,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Registro de usuarios,103. Insufficient data authenticity validation - APK signing
F103. Verificación de autenticidad de datos insuficiente - Registro usuarios,103. Insufficient data authenticity validation - APK signing
F104. Ataques con memorias - Unidad CD,104. USB flash drive attacks
F104. Ataques con memorias USB,104. USB flash drive attacks
F104. Ataques con memorias USB - MicrosD portatil,104. USB flash drive attacks
F106. Inyección NoSQL,106. NoSQL injection
F107. Inyección LDAP,107. LDAP injection
F107. LDAP injection,107. LDAP injection
F108. Control inadecuado de frecuencia de interacción,108. Improper control of interaction frequency
F108. Control inadecuado de frecuencia de interacción - Envío de Token,108. Improper control of interaction frequency
F108. Control inadecuado de la frecuenica de interacción,108. Improper control of interaction frequency
F108. Improper control of interaction frequency,108. Improper control of interaction frequency
F111. Out-of-bounds Read,111. Out-of-bounds read
F111. Out-of-bounds Read - Buffer Overflow,111. Out-of-bounds read
F114. Phishing,114. Phishing
F114. Phishing - Evil Twin Wifi Attack,114. Phishing
F115. Ausencia o Evasión de controles de seguridad,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad  - Instalación de software,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad - Anti hooking,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad - Detección de root,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad - Emulador,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad - reCaptcha,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad - SSL pinning,115. Security controls bypass or absence
F115. Ausencia o Evasión de controles de seguridad - Web,115. Security controls bypass or absence
F115. Evasión de controles de seguridad,115. Security controls bypass or absence
F115. Evasión de controles de seguridad  - Límite de citas,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Antivirus y DLP,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Cloudflare,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Interceptación de tráfico,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Límites transaccionales,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - OTP,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Preguntas de seguridad,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Reconocimiento facial,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Reuso de cuentas,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Root Detection,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - Solicitud póliza,115. Security controls bypass or absence
F115. Evasión de controles de seguridad - SSLPinning,115. Security controls bypass or absence
F115. Security controls bypass,115. Security controls bypass or absence
F116. XS-Leaks,116. XS-Leaks
F116. XS-Leaks - Frame counting,116. XS-Leaks
F116. XS-Leaks - Frame Counting,116. XS-Leaks
F117. Archivos no auditables,117. Unverifiable files
F117. Archivos no auditables - (.project y .classpath),117. Unverifiable files
F117. Archivos no auditables - Código fuente,117. Unverifiable files
F117. Unverifiable files,117. Unverifiable files
F118. Infracción de regulación,118. Regulation infringement
F119. Metadata with sensitive information,119. Metadata with sensitive information
F119. Metadatos con información sensible,119. Metadata with sensitive information
F121. HTTP Parameter Pollution,121. HTTP parameter pollution
F122. Email Flooding,122. Email flooding
F123. Local File Inclusion,123. Local file inclusion
F125. Listado de Directorios,125. Directory listing
F127. Falta de validación de datos,127. Lack of data validation - Type confusion
F127. Falta de validación de datos - Type confusion,127. Lack of data validation - Type confusion
F131. Cabeceras HTTP inseguras o no establecidas - Cabeceras obsoletas,131. Insecure or unset HTTP headers - Strict Transport Security
F131. Cabeceras HTTP inseguras o no establecidas - Strict-Transport-Security,131. Insecure or unset HTTP headers - Strict Transport Security
F133. Algoritmo de cifrado inseguro - Perfect Forward Secrecy,133. Insecure encryption algorithm - Perfect Forward Secrecy
F133. Insecure encryption algorithm - Perfect Forward Secrecy,133. Insecure encryption algorithm - Perfect Forward Secrecy
FIN.0011. Software desactualizado con vulnerabilidades,011. Use of software with known vulnerabilities
FIN.0016. Llave de cifrado no parametrizable,009. Sensitive information in source code
FIN.0020. Ausencia de cifrado de información confidencial,020. Non-encrypted confidential information
FIN.0022. Uso de canal inseguro,022. Use of an insecure channel
FIN.0027. Carga insegura de archivos,027. Insecure file upload
FIN.0027. Carga insegura de archivos - Backend,027. Insecure file upload
FIN.0035. Política de credenciales débiles,035. Weak credential policy
FIN.0037. Fuga de información técnica,037. Technical information leak
FIN.0037. Fuga de información técnica - - console.log() y alert(),037. Technical information leak
FIN.0037. Fuga de información técnica - console.log() -printstacktrace,037. Technical information leak
"FIN.0037. Fuga de información técnica - console.log(), alert(), stackTrace",037. Technical information leak
FIN.0037. Fuga de información técnica - IPs,037. Technical information leak
FIN.0038. Fuga de información de negocio,038. Business information leak
FIN.0038. Fuga de información de negocio - credenciales,038. Business information leak
FIN.0039. Uso de web services sin autorización,039. Improper authorization control for web services
FIN.0040. Web Services expuestos,040. Exposed web services
FIN.0042. Cookies generadas de forma insegura,042. Insecurely generated cookies
FIN.0043. Cabeceras de seguridad HTTP no establecidas,043. Insecure or unset HTTP headers - Content-Security-Policy
FIN.0050. Configuración insegura del servicio - tiempo de vida de código,014. Insecure functionality
FIN.0052. Algoritmo de cifrado inseguro,052. Insecure encryption algorithm
FIN.0053. Ausencia de protección contra ataques de fuerza bruta,053. Lack of protection against brute force attacks
FIN.0060. Excepciones inseguras,060. Insecure exceptions
FIN.0061. Errores sin trazabilidad,061. Errors without traceability
FIN.0062. Sesiones concurrentes,062. Concurrent sessions
FIN.0063. Falta de validación de datos,063. Lack of data validation - Path Traversal
FIN.0066. Código JavaScript sin ofuscar,066. Technical information leak - Console functions
FIN.0068. Tiempo límite de inactividad inseguro,068. Insecure session expiration time
FIN.0070. Prácticas inadecuadas de programación,070. Inappropriate coding practices - Wildcard import
FIN.0073. Condicionales sin opción por defecto,073. Conditional statement without a default option
FIN.0074. Código funcional comentado,074. Commented-out code
FIN.0079. Dependencias no actualizables,079. Non-upgradable dependencies
FIN.H.0014. Funcionalidad insegura: Control de contraseña,014. Insecure functionality
FIN.H.0027. Carga insegura de archivos,027. Insecure file upload
FIN.H.0037. Fuga de información técnica,037. Technical information leak
FIN.H.0037. Fuga de información técnica -,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Angular,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Código fuente,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Console.error,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Console.log,037. Technical information leak
FIN.H.0037. Fuga de información técnica - console.log,037. Technical information leak
FIN.H.0037. Fuga de información técnica - console.log(),037. Technical information leak
"FIN.H.0037. Fuga de información técnica - Console.WriteLine(), Console.log()",037. Technical information leak
FIN.H.0037. Fuga de información técnica - Consultas,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Parámetros,037. Technical information leak
FIN.H.0037. Fuga de información técnica - PrintStackTrace,037. Technical information leak
FIN.H.0037. Fuga de información técnica - PrintStacktrace,037. Technical information leak
FIN.H.0037. Fuga de información técnica - printStackTrace,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Server,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Server-header,037. Technical information leak
FIN.H.0037. Fuga de información técnica - Servlet,037. Technical information leak
FIN.H.0037. Fuga de información técnica - StackTrace,037. Technical information leak
FIN.H.0037. Fuga de información técnica - StakTrace,037. Technical information leak
FIN.H.0037. Fuga de información técnica - X-Powered-By,037. Technical information leak
FIN.H.0037. Fuga de información técnica : console.log,037. Technical information leak
FIN.H.0037. Fuga de información técnica: Console.log,037. Technical information leak
FIN.H.0037. Fuga de información técnica: Murex,037. Technical information leak
FIN.H.0037. Fuga de información técnica: Parámetros Endpoint,037. Technical information leak
FIN.H.0037. Fuga de información técnica: Server version,037. Technical information leak
FIN.H.0037. Fuga de información técnica(console.log-printstacktrace),037. Technical information leak
FIN.H.0037. Leakage of technical information,037. Technical information leak
FIN.H.0037. Technical information Leak,037. Technical information leak
FIN.H.0037. Technical information leak,037. Technical information leak
FIN.H.0040. Web Services expuestos,040. Exposed web services
FIN.H.0043. Cabecera de seguridad HTTP vencida,043. Insecure or unset HTTP headers - Content-Security-Policy
FIN.H.0043. Cabeceras de seguridad HTTP mal establecidas,043. Insecure or unset HTTP headers - Content-Security-Policy
FIN.H.0043. Cabeceras de seguridad HTTP no establecidas,043. Insecure or unset HTTP headers - Content-Security-Policy
